Taxon,Cluster_name
MMO-131_contigs_fa,pebig
HN071_contigs_fa,pebig
MMO-130_contigs_fa,pebig
HN067_contigs_fa,pebig
MMO-163_contigs_fa,pebig
HN093_contigs_fa,pebig
HN099_contigs_fa,pebig
USMM068_contigs_fa,pojonce
USMM066_contigs_fa,pojonce
HN122_contigs_fa,pojonce
HN121_contigs_fa,pojonce
HN123_contigs_fa,takat
HN127_contigs_fa,takat
HN126_contigs_fa,takat
HN068_contigs_fa,takat
MMO-143_contigs_fa,tica
MMO-128_contigs_fa,tica
VD14_contigs_fa,zakloled
M51_contigs_fa,zakloled
USHLN143_contigs_fa,teue
HN132_contigs_fa,nibri
HN105_contigs_fa,kasui
HN059_contigs_fa,nie
HN047_contigs_fa,bepupgu
HN041_contigs_fa,zewuv
HN034_contigs_fa,valso
HN020_contigs_fa,bopabnim
AS167_contigs_fa,fomrawa
AS116_contigs_fa,jirad
AS096_contigs_fa,ibit
AS013_contigs_fa,dujukhi
AA010_contigs_fa,cifodam
